,Entry Date,Exit Date,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
36,2017-04-24,2017-06-16,129.6622314453125,133.8821563720703,64831.11572265625,66941.07818603516,2109.9624633789062
37,2017-07-14,2017-08-16,137.72955322265625,139.8228302001953,68864.77661132812,69911.41510009766,1046.6384887695312
38,2017-08-31,2017-09-27,141.6835479736328,140.30369567871094,70841.7739868164,70151.84783935547,-689.9261474609375
39,2017-10-05,2017-12-07,143.21739196777344,149.58868408203125,71608.69598388672,74794.34204101562,3185.6460571289062
40,2017-12-13,2018-02-07,151.50196838378906,155.9259490966797,75750.98419189453,77962.97454833984,2211.9903564453125
41,2018-02-23,2018-03-23,163.673095703125,154.52169799804688,81836.5478515625,77260.84899902344,-4575.6988525390625
42,2018-04-18,2018-06-28,162.2521514892578,167.23983764648438,81126.0757446289,83619.91882324219,2493.8430786132812
43,2018-07-11,2018-10-09,172.34915161132812,175.80088806152344,86174.57580566406,87900.44403076172,1725.8682250976562
44,2018-12-06,2018-12-11,163.3324432373047,160.1223602294922,81666.22161865234,80061.1801147461,-1605.04150390625
45,2019-01-11,2019-05-10,157.7145538330078,181.90484619140625,78857.2769165039,90952.42309570312,12095.146179199219
46,2019-06-13,2019-08-05,180.35128784179688,178.09918212890625,90175.64392089844,89049.59106445312,-1126.0528564453125
47,2019-09-04,2019-09-30,185.5885467529297,186.43678283691406,92794.27337646484,93218.39141845703,424.1180419921875
48,2019-10-16,2020-02-27,190.61361694335938,203.4954833984375,95306.80847167969,101747.74169921875,6440.9332275390625
49,2020-04-07,2020-09-11,194.76602172851562,268.6663818359375,97383.01086425781,134333.19091796875,36950.18005371094
50,2020-10-06,2020-10-29,273.3453063964844,274.56719970703125,136672.6531982422,137283.59985351562,610.9466552734375
51,2020-11-10,2021-02-25,281.55084228515625,311.33013916015625,140775.42114257812,155665.06958007812,14889.6484375
52,2021-03-23,2021-03-25,316.0978088378906,310.2286376953125,158048.9044189453,155114.31884765625,-2934.5855712890625
53,2021-03-29,2021-05-06,314.7924499511719,330.3373107910156,157396.22497558594,165168.6553955078,7772.430419921875
54,2021-05-28,2021-09-21,332.74871826171875,365.68292236328125,166374.35913085938,182841.46118164062,16467.10205078125
55,2021-10-19,2021-12-02,374.9910583496094,389.4126281738281,187495.5291748047,194706.31408691406,7210.784912109375
56,2021-12-15,2021-12-16,396.54351806640625,386.3465576171875,198271.75903320312,193173.27880859375,-5098.480224609375
